BELNR,LIFNR,VBELN_REF,BUDAT,RECHNUNGSDATUM,WRBTR,WAERS,BUKRS,GJAHR,BLART,ZLSCH,MWSKZ,SGTXT
0005900149,0000300089,198,13.07.2025,10.07.2025,5739,JPY,1000,2025,RE,T,J0,Freight charges - 198
0005900139,0000300079,SH-185,29.07.2025,26.07.2025,19133,JPY,1000,2025,RE,T,J0,Freight charges - SH-185
0005900187,0000300008,SH243,23.07.2025,21.07.2025,47876,JPY,1000,2025,RE,T,J0,Freight charges - SH243
0005900207,0000300093,SH-269,29.06.2025,29.06.2025,44752,JPY,1000,2025,RE,T,J0,Freight charges - SH-269
0005900027,0000300073,35,28.05.2025,26.05.2025,20637,JPY,1000,2025,RE,T,J0,Freight charges - 35
0005900028,0000300079,SH36,02.07.2025,01.07.2025,33162,JPY,1000,2025,RE,T,J0,Freight charges - SH36
0005900116,0000300011,SH153,08.07.2025,06.07.2025,15325,JPY,1000,2025,RE,T,J0,Freight charges - SH153
0005900094,0000300018,126,29.07.2025,26.07.2025,26966,JPY,1000,2025,RE,T,J0,Freight charges - 126
0005900176,0000300059,SH-231,20.05.2025,20.05.2025,25945,JPY,1000,2025,RE,T,J0,Freight charges - SH-231
0005900179,0000300008,SH234,06.06.2025,05.06.2025,36134,JPY,1000,2025,RE,T,J0,Freight charges - SH234
0005900112,0000300078,SH-148,30.06.2025,29.06.2025,34726,JPY,1000,2025,RE,T,J0,Freight charges - SH-148
0005900062,0000300090,SH82,09.06.2025,08.06.2025,14626,JPY,1000,2025,RE,T,J0,Freight charges - SH82
0005900060,0000300043,SH-78,11.06.2025,11.06.2025,58526,JPY,1000,2025,RE,T,J0,Freight charges - SH-78
0005900200,0000300078,262,31.07.2025,31.07.2025,47932,JPY,1000,2025,RE,T,J0,Freight charges - 262
0005900202,0000300062,SH-264,13.07.2025,11.07.2025,47753,JPY,1000,2025,RE,T,J0,Freight charges - SH-264
0005900164,0000300029,214,06.06.2025,05.06.2025,10301,JPY,1000,2025,RE,T,J0,Freight charges - 214
0005900068,0000300032,SH91,31.05.2025,28.05.2025,37332,JPY,1000,2025,RE,T,J0,Freight charges - SH91
0005900088,0000300024,SH-116,22.06.2025,21.06.2025,35614,JPY,1000,2025,RE,T,J0,Freight charges - SH-116
0005900134,0000300037,178,31.07.2025,30.07.2025,10623,JPY,1000,2025,RE,T,J0,Freight charges - 178
0005900061,0000300039,80,31.07.2025,30.07.2025,9282,JPY,1000,2025,RE,T,J0,Freight charges - 80
0005900224,0000300070,292,18.07.2025,17.07.2025,33367,JPY,1000,2025,RE,T,J0,Freight charges - 292
0005900049,0000300008,SH-65,26.06.2025,23.06.2025,43229,JPY,1000,2025,RE,T,J0,Freight charges - SH-65
0005900118,0000300022,156,28.06.2025,28.06.2025,38572,JPY,1000,2025,RE,T,J0,Freight charges - 156
0005900100,0000300066,134,15.07.2025,13.07.2025,58559,JPY,1000,2025,RE,T,J0,Freight charges - 134
0005900002,0000300019,3,10.07.2025,07.07.2025,38912,JPY,1000,2025,RE,T,J0,Freight charges - 3
0005900172,0000300026,SH-224,25.06.2025,23.06.2025,53367,JPY,1000,2025,RE,T,J0,Freight charges - SH-224
0005900005,0000300028,SH-6,23.07.2025,23.07.2025,19079,JPY,1000,2025,RE,T,J0,Freight charges - SH-6
0005900071,0000300021,94,27.05.2025,24.05.2025,9258,JPY,1000,2025,RE,T,J0,Freight charges - 94
0005900043,0000300072,SH55,06.06.2025,03.06.2025,18241,JPY,1000,2025,RE,T,J0,Freight charges - SH55
0005900104,0000300096,139,02.06.2025,02.06.2025,28833,JPY,1000,2025,RE,T,J0,Freight charges - 139
0005900059,0000300060,SH-77,03.08.2025,31.07.2025,48640,JPY,1000,2025,RE,T,J0,Freight charges - SH-77
0005900141,0000300090,SH-189,05.07.2025,02.07.2025,40390,JPY,1000,2025,RE,T,J0,Freight charges - SH-189
0005900130,0000300026,SH173,16.07.2025,16.07.2025,49794,JPY,1000,2025,RE,T,J0,Freight charges - SH173
0005900129,0000300040,171,15.06.2025,14.06.2025,49688,JPY,1000,2025,RE,T,J0,Freight charges - 171
0005900232,0000300017,142,08.06.2025,05.06.2025,23992,JPY,1000,2025,RE,T,J0,Freight charges - 142
0005900058,0000300052,SH76,24.07.2025,22.07.2025,55750,JPY,1000,2025,RE,T,J0,Freight charges - SH76
0005900210,0000300038,273,12.07.2025,11.07.2025,31294,JPY,1000,2025,RE,T,J0,Freight charges - 273
0005900209,0000300094,272,31.07.2025,28.07.2025,27122,JPY,1000,2025,RE,T,J0,Freight charges - 272
0005900155,0000300094,SH-204,26.07.2025,24.07.2025,13968,JPY,1000,2025,RE,T,J0,Freight charges - SH-204
0005900084,0000300015,SH-109,14.07.2025,11.07.2025,38231,JPY,1000,2025,RE,T,J0,Freight charges - SH-109
0005900221,0000300091,SH288,25.06.2025,22.06.2025,17218,JPY,1000,2025,RE,T,J0,Freight charges - SH288
0005900096,0000300051,129,08.07.2025,06.07.2025,55039,JPY,1000,2025,RE,T,J0,Freight charges - 129
0005900152,0000300014,SH-201,31.07.2025,31.07.2025,10496,JPY,1000,2025,RE,T,J0,Freight charges - SH-201
0005900199,0000300049,SH260,14.07.2025,13.07.2025,45256,JPY,1000,2025,RE,T,J0,Freight charges - SH260
0005900004,0000300088,SH-5,03.06.2025,31.05.2025,17710,JPY,1000,2025,RE,T,J0,Freight charges - SH-5
0005900067,0000300057,SH-90,15.06.2025,14.06.2025,25263,JPY,1000,2025,RE,T,J0,Freight charges - SH-90
0005900036,0000300032,48,10.07.2025,10.07.2025,40339,JPY,1000,2025,RE,T,J0,Freight charges - 48
0005900066,0000300081,SH-89,09.07.2025,06.07.2025,45416,JPY,1000,2025,RE,T,J0,Freight charges - SH-89
0005900143,0000300034,SH192,02.08.2025,30.07.2025,51276,JPY,1000,2025,RE,T,J0,Freight charges - SH192
0005900033,0000300090,44,01.07.2025,01.07.2025,34236,JPY,1000,2025,RE,T,J0,Freight charges - 44
0005900132,0000300001,SH-176,03.06.2025,31.05.2025,43174,JPY,1000,2025,RE,T,J0,Freight charges - SH-176
0005900184,0000300036,SH-239,18.06.2025,18.06.2025,37639,JPY,1000,2025,RE,T,J0,Freight charges - SH-239
0005900054,0000300063,71,10.06.2025,07.06.2025,45559,JPY,1000,2025,RE,T,J0,Freight charges - 71
0005900076,0000300081,SH-99,28.07.2025,25.07.2025,15352,JPY,1000,2025,RE,T,J0,Freight charges - SH-99
0005900119,0000300094,SH-157,26.05.2025,26.05.2025,23555,JPY,1000,2025,RE,T,J0,Freight charges - SH-157
0005900182,0000300003,SH-237,31.07.2025,31.07.2025,31761,JPY,1000,2025,RE,T,J0,Freight charges - SH-237
0005900147,0000300076,SH-196,30.06.2025,28.06.2025,19608,JPY,1000,2025,RE,T,J0,Freight charges - SH-196
0005900162,0000300066,SH-212,04.06.2025,02.06.2025,11330,JPY,1000,2025,RE,T,J0,Freight charges - SH-212
0005900046,0000300000,58,01.06.2025,01.06.2025,59540,JPY,1000,2025,RE,T,J0,Freight charges - 58
0005900195,0000300028,256,21.07.2025,21.07.2025,10840,JPY,1000,2025,RE,T,J0,Freight charges - 256
0005900101,0000300083,136,09.06.2025,07.06.2025,46483,JPY,1000,2025,RE,T,J0,Freight charges - 136
0005900225,0000300082,293,26.06.2025,23.06.2025,27563,JPY,1000,2025,RE,T,J0,Freight charges - 293
0005900177,0000300007,232,29.07.2025,27.07.2025,45214,JPY,1000,2025,RE,T,J0,Freight charges - 232
0005900211,0000300058,274,14.06.2025,13.06.2025,5788,JPY,1000,2025,RE,T,J0,Freight charges - 274
0005900192,0000300029,SH-251,11.07.2025,11.07.2025,47847,JPY,1000,2025,RE,T,J0,Freight charges - SH-251
0005900205,0000300068,SH-267,22.05.2025,20.05.2025,32767,JPY,1000,2025,RE,T,J0,Freight charges - SH-267
0005900198,0000300060,SH-259,18.06.2025,18.06.2025,57001,JPY,1000,2025,RE,T,J0,Freight charges - SH-259
0005900086,0000300023,SH-112,18.06.2025,15.06.2025,47763,JPY,1000,2025,RE,T,J0,Freight charges - SH-112
0005900102,0000300072,137,23.07.2025,22.07.2025,37559,JPY,1000,2025,RE,T,J0,Freight charges - 137
0005900015,0000300046,SH18,27.05.2025,26.05.2025,49317,JPY,1000,2025,RE,T,J0,Freight charges - SH18
0005900020,0000300068,SH-27,13.07.2025,12.07.2025,19180,JPY,1000,2025,RE,T,J0,Freight charges - SH-27
0005900204,0000300061,SH-266,24.06.2025,24.06.2025,32817,JPY,1000,2025,RE,T,J0,Freight charges - SH-266
0005900208,0000300032,SH271,30.07.2025,30.07.2025,28457,JPY,1000,2025,RE,T,J0,Freight charges - SH271
0005900158,0000300036,SH207,17.05.2025,16.05.2025,21772,JPY,1000,2025,RE,T,J0,Freight charges - SH207
0005900080,0000300073,SH-105,08.06.2025,05.06.2025,27521,JPY,1000,2025,RE,T,J0,Freight charges - SH-105
0005900018,0000300009,SH25,23.05.2025,20.05.2025,26401,JPY,1000,2025,RE,T,J0,Freight charges - SH25
0005900023,0000300013,SH30,03.07.2025,01.07.2025,23544,JPY,1000,2025,RE,T,J0,Freight charges - SH30
0005900009,0000300056,SH-10,14.06.2025,12.06.2025,57914,JPY,1000,2025,RE,T,J0,Freight charges - SH-10
0005900048,0000300015,62,12.07.2025,09.07.2025,41498,JPY,1000,2025,RE,T,J0,Freight charges - 62
0005900127,0000300027,168,08.06.2025,07.06.2025,5930,JPY,1000,2025,RE,T,J0,Freight charges - 168
0005900168,0000300078,SH220,28.06.2025,25.06.2025,31570,JPY,1000,2025,RE,T,J0,Freight charges - SH220
0005900213,0000300016,SH277,03.06.2025,03.06.2025,29360,JPY,1000,2025,RE,T,J0,Freight charges - SH277
0005900151,0000300009,200,23.07.2025,20.07.2025,17612,JPY,1000,2025,RE,T,J0,Freight charges - 200
0005900089,0000300078,SH118,13.05.2025,13.05.2025,13174,JPY,1000,2025,RE,T,J0,Freight charges - SH118
0005900126,0000300087,SH-166,27.05.2025,27.05.2025,27302,JPY,1000,2025,RE,T,J0,Freight charges - SH-166
0005900135,0000300084,SH179,23.07.2025,22.07.2025,18754,JPY,1000,2025,RE,T,J0,Freight charges - SH179
0005900167,0000300008,219,01.07.2025,28.06.2025,55848,JPY,1000,2025,RE,T,J0,Freight charges - 219
0005900223,0000300079,SH291,25.06.2025,25.06.2025,46209,JPY,1000,2025,RE,T,J0,Freight charges - SH291
0005900113,0000300063,SH149,02.08.2025,30.07.2025,23047,JPY,1000,2025,RE,T,J0,Freight charges - SH149
0005900216,0000300057,SH281,05.06.2025,05.06.2025,51067,JPY,1000,2025,RE,T,J0,Freight charges - SH281
0005900183,0000300031,SH238,29.06.2025,27.06.2025,7547,JPY,1000,2025,RE,T,J0,Freight charges - SH238
0005900044,0000300018,SH-56,17.07.2025,16.07.2025,29682,JPY,1000,2025,RE,T,J0,Freight charges - SH-56
0005900123,0000300087,162,30.07.2025,28.07.2025,56985,JPY,1000,2025,RE,T,J0,Freight charges - 162
0005900140,0000300054,SH186,17.06.2025,14.06.2025,19920,JPY,1000,2025,RE,T,J0,Freight charges - SH186
0005900166,0000300097,SH-217,02.08.2025,31.07.2025,8479,JPY,1000,2025,RE,T,J0,Freight charges - SH-217
0005900098,0000300084,SH132,15.07.2025,15.07.2025,56143,JPY,1000,2025,RE,T,J0,Freight charges - SH132
0005900035,0000300092,SH-46,04.06.2025,03.06.2025,7286,JPY,1000,2025,RE,T,J0,Freight charges - SH-46
0005900011,0000300052,12,12.06.2025,09.06.2025,15598,JPY,1000,2025,RE,T,J0,Freight charges - 12
0005900186,0000300007,SH242,16.06.2025,15.06.2025,23811,JPY,1000,2025,RE,T,J0,Freight charges - SH242
0005900222,0000300024,SH289,25.06.2025,23.06.2025,40249,JPY,1000,2025,RE,T,J0,Freight charges - SH289
0005900038,0000300055,SH-50,24.05.2025,24.05.2025,35165,JPY,1000,2025,RE,T,J0,Freight charges - SH-50
0005900030,0000300021,38,02.08.2025,30.07.2025,7237,JPY,1000,2025,RE,T,J0,Freight charges - 38
0005900064,0000300033,SH-84,03.06.2025,31.05.2025,15095,JPY,1000,2025,RE,T,J0,Freight charges - SH-84
0005900072,0000300001,SH95,07.07.2025,04.07.2025,37676,JPY,1000,2025,RE,T,J0,Freight charges - SH95
0005900121,0000300049,159,16.06.2025,15.06.2025,22853,JPY,1000,2025,RE,T,J0,Freight charges - 159
0005900230,0000300079,SH291,25.06.2025,25.06.2025,46209,JPY,1000,2025,RE,T,J0,Freight charges - SH291
0005900170,0000300076,SH-222,01.07.2025,28.06.2025,31968,JPY,1000,2025,RE,T,J0,Freight charges - SH-222
0005900159,0000300013,208,24.05.2025,21.05.2025,20137,JPY,1000,2025,RE,T,J0,Freight charges - 208
0005900105,0000300025,SH140,17.05.2025,16.05.2025,45152,JPY,1000,2025,RE,T,J0,Freight charges - SH140
0005900137,0000300051,SH-183,13.07.2025,10.07.2025,27365,JPY,1000,2025,RE,T,J0,Freight charges - SH-183
0005900031,0000300057,SH41,27.06.2025,25.06.2025,39697,JPY,1000,2025,RE,T,J0,Freight charges - SH41
0005900107,0000300025,SH-143,29.05.2025,26.05.2025,53038,JPY,1000,2025,RE,T,J0,Freight charges - SH-143
0005900042,0000300038,54,25.05.2025,25.05.2025,47215,JPY,1000,2025,RE,T,J0,Freight charges - 54
0005900212,0000300069,SH275,23.05.2025,20.05.2025,49575,JPY,1000,2025,RE,T,J0,Freight charges - SH275
0005900229,0000300099,SH-300,22.07.2025,22.07.2025,57584,JPY,1000,2025,RE,T,J0,Freight charges - SH-300
0005900144,0000300001,193,02.07.2025,01.07.2025,48238,JPY,1000,2025,RE,T,J0,Freight charges - 193
0005900026,0000300028,34,22.07.2025,19.07.2025,39311,JPY,1000,2025,RE,T,J0,Freight charges - 34
0005900078,0000300044,SH-102,25.06.2025,24.06.2025,17311,JPY,1000,2025,RE,T,J0,Freight charges - SH-102
0005900075,0000300008,98,04.07.2025,04.07.2025,27565,JPY,1000,2025,RE,T,J0,Freight charges - 98
0005900215,0000300053,SH279,07.06.2025,06.06.2025,30599,JPY,1000,2025,RE,T,J0,Freight charges - SH279
0005900231,0000300025,SH-209,10.07.2025,08.07.2025,28880,JPY,1000,2025,RE,T,J0,Freight charges - SH-209
0005900122,0000300068,SH161,28.06.2025,26.06.2025,26053,JPY,1000,2025,RE,T,J0,Freight charges - SH161
0005900115,0000300067,SH152,01.06.2025,31.05.2025,6612,JPY,1000,2025,RE,T,J0,Freight charges - SH152
0005900150,0000300084,SH-199,04.06.2025,01.06.2025,11446,JPY,1000,2025,RE,T,J0,Freight charges - SH-199
0005900220,0000300026,SH287,15.06.2025,14.06.2025,37729,JPY,1000,2025,RE,T,J0,Freight charges - SH287
0005900160,0000300025,SH-209,10.07.2025,08.07.2025,28880,JPY,1000,2025,RE,T,J0,Freight charges - SH-209
0005900093,0000300043,124,16.06.2025,16.06.2025,7290,JPY,1000,2025,RE,T,J0,Freight charges - 124
0005900185,0000300018,SH241,30.05.2025,29.05.2025,13557,JPY,1000,2025,RE,T,J0,Freight charges - SH241
0005900079,0000300019,SH-104,29.06.2025,27.06.2025,47772,JPY,1000,2025,RE,T,J0,Freight charges - SH-104
0005900055,0000300042,SH72,15.07.2025,13.07.2025,10831,JPY,1000,2025,RE,T,J0,Freight charges - SH72
0005900203,0000300044,SH-265,28.05.2025,26.05.2025,19386,JPY,1000,2025,RE,T,J0,Freight charges - SH-265
0005900233,0000300095,SH15,05.07.2025,02.07.2025,28369,JPY,1000,2025,RE,T,J0,Freight charges - SH15
0005900092,0000300085,SH-123,08.06.2025,07.06.2025,10627,JPY,1000,2025,RE,T,J0,Freight charges - SH-123
0005900194,0000300049,253,28.06.2025,28.06.2025,6828,JPY,1000,2025,RE,T,J0,Freight charges - 253
0005900024,0000300092,SH32,13.07.2025,10.07.2025,17930,JPY,1000,2025,RE,T,J0,Freight charges - SH32
0005900085,0000300013,SH111,23.07.2025,23.07.2025,22099,JPY,1000,2025,RE,T,J0,Freight charges - SH111
0005900014,0000300095,SH15,05.07.2025,02.07.2025,28369,JPY,1000,2025,RE,T,J0,Freight charges - SH15
0005900003,0000300003,SH-4,28.07.2025,27.07.2025,20942,JPY,1000,2025,RE,T,J0,Freight charges - SH-4
0005900006,0000300027,SH7,20.05.2025,17.05.2025,45460,JPY,1000,2025,RE,T,J0,Freight charges - SH7
0005900022,0000300060,SH-29,13.06.2025,10.06.2025,49422,JPY,1000,2025,RE,T,J0,Freight charges - SH-29
0005900017,0000300040,SH-23,14.06.2025,14.06.2025,18381,JPY,1000,2025,RE,T,J0,Freight charges - SH-23
0005900025,0000300089,SH-33,28.06.2025,27.06.2025,50026,JPY,1000,2025,RE,T,J0,Freight charges - SH-33
0005900174,0000300019,SH227,10.07.2025,09.07.2025,3931,JPY,1000,2025,RE,T,J0,Freight charges - SH227
0005900010,0000300070,SH-11,31.05.2025,31.05.2025,39459,JPY,1000,2025,RE,T,J0,Freight charges - SH-11
0005900161,0000300063,SH211,07.07.2025,06.07.2025,39356,JPY,1000,2025,RE,T,J0,Freight charges - SH211
0005900189,0000300092,SH-248,05.07.2025,04.07.2025,43539,JPY,1000,2025,RE,T,J0,Freight charges - SH-248
0005900136,0000300049,180,09.07.2025,09.07.2025,14603,JPY,1000,2025,RE,T,J0,Freight charges - 180
0005900193,0000300000,SH-252,29.05.2025,27.05.2025,27983,JPY,1000,2025,RE,T,J0,Freight charges - SH-252
0005900157,0000300036,206,05.07.2025,02.07.2025,29096,JPY,1000,2025,RE,T,J0,Freight charges - 206
0005900081,0000300090,SH106,25.07.2025,24.07.2025,31881,JPY,1000,2025,RE,T,J0,Freight charges - SH106
0005900125,0000300022,SH-165,07.07.2025,05.07.2025,58654,JPY,1000,2025,RE,T,J0,Freight charges - SH-165
0005900196,0000300072,SH-257,08.06.2025,07.06.2025,5306,JPY,1000,2025,RE,T,J0,Freight charges - SH-257
0005900034,0000300087,SH45,14.07.2025,13.07.2025,7179,JPY,1000,2025,RE,T,J0,Freight charges - SH45
0005900190,0000300041,249,23.06.2025,22.06.2025,50453,JPY,1000,2025,RE,T,J0,Freight charges - 249
0005900063,0000300063,SH-83,27.06.2025,24.06.2025,19515,JPY,1000,2025,RE,T,J0,Freight charges - SH-83
0005900120,0000300003,158,14.05.2025,14.05.2025,38015,JPY,1000,2025,RE,T,J0,Freight charges - 158
0005900082,0000300019,SH-107,25.07.2025,22.07.2025,36248,JPY,1000,2025,RE,T,J0,Freight charges - SH-107
0005900106,0000300017,142,08.06.2025,05.06.2025,23992,JPY,1000,2025,RE,T,J0,Freight charges - 142
0005900039,0000300017,SH-51,19.07.2025,19.07.2025,53093,JPY,1000,2025,RE,T,J0,Freight charges - SH-51
0005900051,0000300024,SH-67,09.06.2025,09.06.2025,51008,JPY,1000,2025,RE,T,J0,Freight charges - SH-67
0005900201,0000300095,263,30.05.2025,30.05.2025,32469,JPY,1000,2025,RE,T,J0,Freight charges - 263
0005900148,0000300088,SH-197,28.07.2025,28.07.2025,44060,JPY,1000,2025,RE,T,J0,Freight charges - SH-197
0005900103,0000300068,SH-138,14.06.2025,11.06.2025,49019,JPY,1000,2025,RE,T,J0,Freight charges - SH-138
0005900165,0000300049,SH215,28.07.2025,25.07.2025,57597,JPY,1000,2025,RE,T,J0,Freight charges - SH215
0005900040,0000300084,52,03.07.2025,02.07.2025,17103,JPY,1000,2025,RE,T,J0,Freight charges - 52
0005900197,0000300002,258,12.06.2025,11.06.2025,7844,JPY,1000,2025,RE,T,J0,Freight charges - 258
0005900145,0000300052,194,29.07.2025,29.07.2025,56972,JPY,1000,2025,RE,T,J0,Freight charges - 194
0005900175,0000300032,SH-230,15.06.2025,13.06.2025,59327,JPY,1000,2025,RE,T,J0,Freight charges - SH-230
0005900191,0000300018,SH250,06.07.2025,05.07.2025,5518,JPY,1000,2025,RE,T,J0,Freight charges - SH250
0005900070,0000300087,SH93,07.07.2025,05.07.2025,6876,JPY,1000,2025,RE,T,J0,Freight charges - SH93
0005900045,0000300075,SH-57,24.06.2025,22.06.2025,47651,JPY,1000,2025,RE,T,J0,Freight charges - SH-57
0005900171,0000300064,223,28.06.2025,25.06.2025,46442,JPY,1000,2025,RE,T,J0,Freight charges - 223
0005900146,0000300024,SH-195,14.07.2025,13.07.2025,21224,JPY,1000,2025,RE,T,J0,Freight charges - SH-195
0005900226,0000300050,SH294,29.06.2025,29.06.2025,16992,JPY,1000,2025,RE,T,J0,Freight charges - SH294
0005900053,0000300023,SH-70,10.06.2025,10.06.2025,57771,JPY,1000,2025,RE,T,J0,Freight charges - SH-70
0005900178,0000300019,SH233,21.05.2025,19.05.2025,27905,JPY,1000,2025,RE,T,J0,Freight charges - SH233
0005900007,0000300037,SH-8,01.07.2025,28.06.2025,3813,JPY,1000,2025,RE,T,J0,Freight charges - SH-8
0005900114,0000300087,151,22.06.2025,21.06.2025,53517,JPY,1000,2025,RE,T,J0,Freight charges - 151
0005900047,0000300091,SH-61,20.07.2025,19.07.2025,6471,JPY,1000,2025,RE,T,J0,Freight charges - SH-61
0005900111,0000300041,SH-147,10.07.2025,07.07.2025,9836,JPY,1000,2025,RE,T,J0,Freight charges - SH-147
0005900133,0000300026,SH-177,30.06.2025,28.06.2025,28001,JPY,1000,2025,RE,T,J0,Freight charges - SH-177
0005900099,0000300075,SH133,13.06.2025,12.06.2025,52454,JPY,1000,2025,RE,T,J0,Freight charges - SH133
0005900169,0000300094,221,10.07.2025,09.07.2025,31711,JPY,1000,2025,RE,T,J0,Freight charges - 221
0005900041,0000300068,SH-53,30.07.2025,28.07.2025,23304,JPY,1000,2025,RE,T,J0,Freight charges - SH-53
0005900228,0000300057,SH299,17.06.2025,17.06.2025,45745,JPY,1000,2025,RE,T,J0,Freight charges - SH299
0005900142,0000300026,SH-190,17.06.2025,14.06.2025,23299,JPY,1000,2025,RE,T,J0,Freight charges - SH-190
0005900087,0000300021,113,31.05.2025,29.05.2025,36979,JPY,1000,2025,RE,T,J0,Freight charges - 113
0005900056,0000300051,73,06.06.2025,04.06.2025,9170,JPY,1000,2025,RE,T,J0,Freight charges - 73
0005900052,0000300099,68,03.07.2025,02.07.2025,42421,JPY,1000,2025,RE,T,J0,Freight charges - 68
