VBELN,ERDAT,KUNNR,MATNR,KWMENG,WERKS,VDATU,EDATU,VSBED,LPRIO,AUFT_STATUS,VKORG,VTWEG,SPART,AUART,BSTNK,WAERK,NETWR,INCO1,ZTERM,ERNAM
4500000177,17.06.2025,0000100020,100000000000000032,94,1000,26.06.2025,27.06.2025,01,01,Open,1000,10,00,OR,PO86933,JPY,386434,DAP,NT60,K.TANAKA
4500000060,18.07.2025,0000100025,100000000000000010,97,2000,25.07.2025,27.07.2025,02,02,Open,1000,10,00,OR,PO42154,JPY,211363,CIP,NT45,Y.SUZUKI
4500000019,31.07.2025,0000100034,100000000000000030,290,1000,12.08.2025,05.08.2025,01,02,Open,1000,10,00,OR,PO69388,JPY,2734120,EXW,NT60,R.ITO
4500000021,2025-07-15,0000100025,100000000000000031,185,1000,26.07.2025,23.07.2025,01,01,Open,1000,10,00,OR,PO43444,JPY,1364005,FOB,NT30,H.WATANABE
4500000239,29.05.2025,0000100038,100000000000000028,295,4000,,03.06.2025,02,01,Open,1000,10,00,OR,PO78807,JPY,3288365,CIP,NT60,Y.SUZUKI
4500000043,16.07.2025,0000100025,100000000000000053,60,3000,26.07.2025,24.07.2025,01,01,Open,1000,10,00,OR,PO88097,JPY,125040,EXW,NT30,H.WATANABE
4500000221,24.06.2025,0000100020,100000000000000029,82,3000,01.07.2025,28.06.2025,02,01,Open,1000,10,00,OR,PO35891,JPY,983180,FOB,NT45,M.SATO
4500000016,2025-07-15,0000100013,100000000000000017,367,1000,23.07.2025,21.07.2025,01,01,Open,1000,10,00,OR,PO53077,JPY,374340,DAP,NT45,K.TANAKA
4500000057,13.06.2025,0000100039,100000000000000031,36,2000,23.06.2025,22.06.2025,01,02,Open,1000,10,00,OR,PO15501,JPY,265428,DAP,NT30,K.TANAKA
4500000227,28.06.2025,0000100006,100000000000000039,130,1000,06.07.2025,02.07.2025,02,01,Open,1000,10,00,OR,PO34854,JPY,1681160,DAP,NT30,R.ITO
4500000264,30.06.2025,0000100030,100000000000000050,365,2000,10.07.2025,09.07.2025,01,02,Open,1000,10,00,OR,PO61814,JPY,793510,DAP,NT60,H.WATANABE
4500000141,31.07.2025,0000100007,100000000000000006,282,3000,08.08.2025,08.08.2025,01,02,Open,1000,10,00,OR,PO56890,JPY,1272384,EXW,NT60,R.ITO
4500000203,27.05.2025,0000100017,100000000000000053,11,4000,04.06.2025,03.06.2025,01,02,Open,1000,10,00,OR,PO22661,JPY,22924,FOB,NT60,M.SATO
4500000155,26.07.2025,0000100007,100000000000000042,29,1000,06.08.2025,30.07.2025,01,01,Open,1000,10,00,OR,PO79803,JPY,346202,CIP,NT60,Y.SUZUKI
4500000114,18.07.2025,0000100035,100000000000000011,365 ,3000,,23.07.2025,01,01,Open,1000,10,00,OR,PO82848,JPY,4229255,CIP,NT45,R.ITO
4500000072,2025-07-01,0000100034,100000000000000023,287,2000,08.07.2025,08.07.2025,01,01,Open,1000,10,00,OR,PO80770,JPY,2974181,EXW,NT30,Y.SUZUKI
4500000084,20.05.2025,0000100033,100000000000000030,103,3000,01.06.2025,29.05.2025,02,01,Open,1000,10,00,OR,PO25432,JPY,971084,EXW,NT45,Y.SUZUKI
4500000179,03.07.2025,0000100023,100000000000000003,394,2000,13.07.2025,08.07.2025,01,01,Cancelled,1000,10,00,OR,PO72230,JPY,358146,DAP,NT45,R.ITO
4500000129,2025-06-17,0000100026,100000000000000033,351,1000,24.06.2025,21.06.2025,01,02,Open,1000,10,00,OR,PO42765,JPY,2758509,FOB,NT30,Y.SUZUKI
4500000023,31.05.2025,0000100005,100000000000000050,391,1000,05.06.2025,08.06.2025,01,01,Open,1000,10,00,OR,PO50645,JPY,850034,FOB,NT45,K.TANAKA
4500000012,20.05.2025,0000100017,100000000000000008,385,1000,28.05.2025,29.05.2025,01,01,Open,1000,10,00,OR,PO15346,JPY,1072610,CIP,NT45,R.ITO
4500000186,04.06.2025,0000100020,100000000000000037,366,3000,10.06.2025,13.06.2025,01,01,Open,1000,10,00,OR,PO10975,JPY,5395572,FOB,NT45,K.TANAKA
4500000067,26.05.2025,0000100032,100000000000000045,193,4000,01.06.2025,04.06.2025,03,01,Open,1000,10,00,OR,PO51116,JPY,975036,EXW,NT30,Y.SUZUKI
4500000059,24.07.2025,0000100028,100000000000000033,14,3000,01.08.2025,30.07.2025,01,01,Open,1000,10,00,OR,PO53857,JPY,110026,FOB,NT30,M.SATO
4500000134,04.07.2025,0000100003,100000000000000006,124,1000,16.07.2025,08.07.2025,01,01,Open,1000,10,00,OR,PO18523,JPY,559488,FOB,NT30,H.WATANABE
4500000154,27.06.2025,0000100009,100000000000000022,188,4000,08.07.2025,01.07.2025,02,01,Open,1000,10,00,OR,PO66848,JPY,1650452,DAP,NT30,M.SATO
4500000039,14.07.2025,0000100012,100000000000000011,45,2000,22.07.2025,21.07.2025,01,01,Open,1000,10,00,OR,PO92058,JPY,521415,FOB,NT30,Y.SUZUKI
4500000046,19.05.2025,0000100035,100000000000000017,61,2000,24.05.2025,25.05.2025,01,01,Open,1000,10,00,OR,PO94696,JPY,62220,EXW,NT45,H.WATANABE
4500000033,16.06.2025,0000100027,100000000000000022,348,3000,27.06.2025,25.06.2025,01,01,Open,1000,10,00,OR,PO54739,JPY,3055092,FOB,NT30,M.SATO
4500000131,07.06.2025,0000100029,100000000000000057,22,2000,16.06.2025,14.06.2025,01,01,Open,1000,10,00,OR,PO42394,JPY,228602,DAP,NT45,M.SATO
4500000187,18.07.2025,0000100028,100000000000000006,139,1000,23.07.2025,27.07.2025,01,01,Open,1000,10,00,OR,PO53108,JPY,627168,CIP,NT45,H.WATANABE
4500000252,2025-05-07,0000100025,100000000000000018,363,2000,,15.05.2025,01,01,Open,1000,10,00,OR,PO52667,JPY,358644,CIP,NT30,R.ITO
4500000171,04.06.2025,0000100035,100000000000000047,17,3000,14.06.2025,12.06.2025,02,02,Open,1000,10,00,OR,PO63183,JPY,68459,DAP,NT45,R.ITO
4500000145,19.07.2025,0000100006,100000000000000013,113,4000,31.07.2025,29.07.2025,02,01,Open,1000,10,00,OR,PO53403,JPY,1066155,EXW,NT60,Y.SUZUKI
4500000279,29.05.2025,0000100009,100000000000000006,358,4000,03.06.2025,08.06.2025,02,01,Open,1000,10,00,OR,PO95563,JPY,1615296,CIP,NT60,K.TANAKA
4500000276,30.07.2025,0000100009,100000000000000023,32,2000,09.08.2025,03.08.2025,01,01,Open,1000,10,00,OR,PO32049,JPY,331616,DAP,NT30,Y.SUZUKI
4500000116,30.05.2025,0000100028,100000000000000053,258,2000,09.06.2025,07.06.2025,01,02,Open,1000,10,00,OR,PO88815,JPY,537672,EXW,NT45,M.SATO
4500000205,14.05.2025,0000100016,100000000000000011,51,4000,19.05.2025,18.05.2025,01,01,Open,1000,10,00,OR,PO40462,JPY,590937,FOB,NT30,Y.SUZUKI
4500000293,11.06.2025,0000100030,100000000000000032,221,4000,18.06.2025,17.06.2025,01,01,Open,1000,10,00,OR,PO62436,JPY,908531,CIP,NT30,Y.SUZUKI
4500000027,29.06.2025,0000100002,100000000000000006,118,3000,09.07.2025,06.07.2025,01,01,Open,1000,10,00,OR,PO21006,JPY,532416,EXW,NT45,H.WATANABE
4500000163,31.07.2025,0000100007,100000000000000003,257,2000,11.08.2025,04.08.2025,01,01,Open,1000,10,00,OR,PO82161,JPY,233613,DAP,NT30,K.TANAKA
4500000257,2025-05-20,0000100007,100000000000000051,85,4000,25.05.2025,24.05.2025,01,01,Open,1000,10,00,OR,PO52795,JPY,171615,CIP,NT45,M.SATO
4500000284,24.07.2025,0000100026,100000000000000023,346,4000,05.08.2025,01.08.2025,01,01,Open,1000,10,00,OR,PO63127,JPY,3585598,DAP,NT45,R.ITO
4500000278,25.06.2025,0000100030,100000000000000059,64,1000,07.07.2025,01.07.2025,02,02,Open,1000,10,00,OR,PO14455,JPY,878272,DAP,NT30,H.WATANABE
4500000163,31.07.2025,0000100007,100000000000000003,257,2000,11.08.2025,04.08.2025,01,01,Open,1000,10,00,OR,PO82161,JPY,233613,DAP,NT30,K.TANAKA
4500000262,15.07.2025,0000100036,100000000000000055,49,2000,23.07.2025,23.07.2025,01,01,Open,1000,10,00,OR,PO59832,JPY,704865,DAP,NT45,K.TANAKA
4500000151,05.06.2025,0000100038,100000000000000019,65,4000,11.06.2025,12.06.2025,01,02,Open,1000,10,00,OR,PO82680,JPY,132275,FOB,NT30,M.SATO
4500000300,09.07.2025,0000100028,100000000000000050,349,4000,17.07.2025,14.07.2025,01,01,Open,1000,10,00,OR,PO74175,JPY,758726,DAP,NT60,Y.SUZUKI
4500000013,13.07.2025,0000100001,100000000000000008,358,1000,23.07.2025,21.07.2025,02,01,Open,1000,10,00,OR,PO29405,JPY,997388,DAP,NT45,K.TANAKA
4500000018,14.05.2025,0000100016,100000000000000044,120,3000,19.05.2025,19.05.2025,02,01,Open,1000,10,00,OR,PO92359,JPY,728880,EXW,NT60,K.TANAKA
4500000130,2025-07-29,0000100006,100000000000000038,43,3000,10.08.2025,08.08.2025,01,01,Open,1000,10,00,OR,PO72910,JPY,26058,CIP,NT30,R.ITO
4500000234,2025-05-21,0000100007,100000000000000053,110,2000,27.05.2025,25.05.2025,02,01,Open,1000,10,00,OR,PO22098,JPY,229240,CIP,NT45,R.ITO
4500000025,04.05.2025,0000100027,100000000000000053,59,4000,16.05.2025,13.05.2025,01,01,Open,1000,10,00,OR,PO58265,JPY,122956,FOB,NT45,H.WATANABE
4500000259,07.06.2025,0000100004,100000000000000013,81,1000,19.06.2025,14.06.2025,01,03,Open,1000,10,00,OR,PO53620,JPY,764235,FOB,NT60,R.ITO
4500000271,14.07.2025,0000100029,100000000000000022,379,1000,20.07.2025,20.07.2025,01,01,On Hold,1000,10,00,OR,PO61296,JPY,3327241,CIP,NT30,R.ITO
4500000081,30.07.2025,0000100032,100000000000000021,183,4000,08.08.2025,05.08.2025,01,03,Open,1000,10,00,OR,PO76294,JPY,788913,FOB,NT45,H.WATANABE
4500000025,04.05.2025,0000100027,100000000000000053,59,4000,16.05.2025,13.05.2025,01,01,Open,1000,10,00,OR,PO58265,JPY,122956,FOB,NT45,H.WATANABE
4500000078,22.05.2025,0000100039,100000000000000058,172,2000,02.06.2025,30.05.2025,03,01,Open,1000,10,00,OR,PO20740,JPY,831276,DAP,NT30,H.WATANABE
4500000099,09.07.2025,0000100003,100000000000000015,359,2000,14.07.2025,13.07.2025,02,01,Open,1000,10,00,OR,PO33784,JPY,3652466,DAP,NT60,K.TANAKA
4500000105,17.05.2025,0000100037,100000000000000013,354,2000,29.05.2025,26.05.2025,02,01,Open,1000,10,00,OR,PO28660,JPY,3339990,EXW,NT60,M.SATO
4500000061,01.07.2025,0000100019,100000000000000050,262,4000,09.07.2025,11.07.2025,01,03,Open,1000,10,00,OR,PO64396,JPY,569588,EXW,NT60,M.SATO
4500000175,24.07.2025,0000100033,100000000000000010,99,2000,01.08.2025,28.07.2025,01,02,Open,1000,10,00,OR,PO26822,JPY,215721,EXW,NT60,K.TANAKA
4500000083,08.06.2025,0000100021,100000000000000019,398,1000,13.06.2025,13.06.2025,01,01,Open,1000,10,00,OR,PO25566,JPY,809930,CIP,NT30,K.TANAKA
4500000200,10.07.2025,0000100001,100000000000000045,391,4000,21.07.2025,20.07.2025,01,01,Open,1000,10,00,OR,PO78534,JPY,1975332,DAP,NT45,Y.SUZUKI
4500000034,08.07.2025,0000100024,100000000000000040,325,4000,17.07.2025,16.07.2025,01,01,Open,1000,10,00,OR,PO98265,JPY,4453150,DAP,NT45,R.ITO
4500000222,21.06.2025,0000100032,100000000000000031,88,2000,26.06.2025,27.06.2025,01,01,Open,1000,10,00,OR,PO93309,JPY,648824,FOB,NT45,H.WATANABE
4500000269,08.06.2025,0000100004,100000000000000010,150,3000,15.06.2025,17.06.2025,01,01,Open,1000,10,00,OR,PO16889,JPY,326850,FOB,NT45,H.WATANABE
4500000082,20.05.2025,0000100007,100000000000000040,129,2000,28.05.2025,29.05.2025,01,02,Open,1000,10,00,OR,PO25474,JPY,1767558,FOB,NT45,H.WATANABE
4500000024,16.07.2025,0000100002,100000000000000060,299,3000,27.07.2025,25.07.2025,01,03,Open,1000,10,00,OR,PO60867,JPY,362089,CIP,NT45,R.ITO
4500000088,28.07.2025,0000100020,100000000000000047,207,1000,05.08.2025,05.08.2025,01,01,Open,1000,10,00,OR,PO89391,JPY,833589,FOB,NT30,R.ITO
4500000199,20.05.2025,0000100035,100000000000000012,328,4000,31.05.2025,28.05.2025,02,02,Open,1000,10,00,OR,PO38399,JPY,4144280,DAP,NT60,R.ITO
4500000283,28.07.2025,0000100007,100000000000000026,272,4000,04.08.2025,04.08.2025,01,01,Open,1000,10,00,OR,PO26414,JPY,1021904,DAP,NT45,K.TANAKA
4500000166,17.05.2025,0000100023,100000000000000036,303,4000,28.05.2025,26.05.2025,01,01,Open,1000,10,00,OR,PO94587,JPY,4169583,DAP,NT45,K.TANAKA
4500000160,27.07.2025,0000100022,100000000000000034,226,1000,06.08.2025,05.08.2025,01,01,Open,1000,10,00,OR,PO73346,JPY,2294804,CIP,NT45,Y.SUZUKI
4500000153,19.06.2025,0000100001,100000000000000058,392,3000,24.06.2025,28.06.2025,02,01,Open,1000,10,00,OR,PO58449,JPY,1894536,EXW,NT60,M.SATO
4500000247,23.07.2025,0000100011,100000000000000014,32,3000,29.07.2025,27.07.2025,01,02,Open,1000,10,00,OR,PO54967,JPY,61568,EXW,NT30,Y.SUZUKI
4500000037,05.07.2025,0000100003,100000000000000009,56,3000,17.07.2025,09.07.2025,02,01,Open,1000,10,00,OR,PO61773,JPY,703696,EXW,NT30,M.SATO
4500000038,11.07.2025,0000100003,100000000000000040,125,1000,19.07.2025,20.07.2025,01,02,Open,1000,10,00,OR,PO34670,JPY,1712750,DAP,NT30,H.WATANABE
4500000062,27.06.2025,0000100006,100000000000000059,235,2000,08.07.2025,01.07.2025,02,03,Open,1000,10,00,OR,PO39908,JPY,3224905,FOB,NT45,H.WATANABE
4500000198,22.06.2025,0000100034,100000000000000049,58,1000,03.07.2025,28.06.2025,01,01,Open,1000,10,00,OR,PO61229,JPY,348812,FOB,NT30,K.TANAKA
4500000117,25.07.2025,0000100020,100000000000000011,52,3000,04.08.2025,03.08.2025,01,01,Open,1000,10,00,OR,PO26353,JPY,602524,CIP,NT45,M.SATO
4500000280,17.07.2025,0000100013,100000000000000012,19,3000,26.07.2025,25.07.2025,01,02,Open,1000,10,00,OR,PO46073,JPY,240065,CIP,NT45,K.TANAKA
4500000204,12.07.2025,0000100034,100000000000000008,251,3000,17.07.2025,22.07.2025,01,01,Open,1000,10,00,OR,PO52294,JPY,699286,FOB,NT60,M.SATO
4500000219,17.06.2025,0000100020,100000000000000016,36,3000,22.06.2025,25.06.2025,01,02,Open,1000,10,00,OR,PO35226,JPY,266832,DAP,NT60,M.SATO
4500000216,2025-07-21,0000100010,100000000000000029,124,1000,27.07.2025,25.07.2025,01,01,Open,1000,10,00,OR,PO64380,JPY,1486760,EXW,NT30,M.SATO
4500000007,07.05.2025,0000100022,100000000000000005,147,2000,14.05.2025,16.05.2025,01,01,Open,1000,10,00,OR,PO44131,JPY,735882,DAP,NT45,K.TANAKA
4500000295,25.05.2025,0000100014,100000000000000018,214,4000,06.06.2025,02.06.2025,01,01,Open,1000,10,00,OR,PO58777,JPY,211432,FOB,NT45,M.SATO
4500000122,07.07.2025,0000100014,100000000000000052,279,2000,13.07.2025,13.07.2025,01,01,Open,1000,10,00,OR,PO89032,JPY,1875996,FOB,NT30,R.ITO
4500000144,07.05.2025,0000100026,100000000000000057,358,3000,16.05.2025,13.05.2025,01,01,On Hold,1000,10,00,OR,PO18965,JPY,3719978,EXW,NT30,H.WATANABE
4500000238,16.06.2025,0000100031,100000000000000030,149,2000,23.06.2025,24.06.2025,02,01,Open,1000,10,00,OR,PO50383,JPY,1404772,DAP,NT30,H.WATANABE
4500000230,27.05.2025,0000100001,100000000000000008,243,1000,04.06.2025,06.06.2025,01,01,Open,1000,10,00,OR,PO67186,JPY,676998,EXW,NT60,Y.SUZUKI
4500000229,20.07.2025,0000100004,100000000000000007,252,1000,29.07.2025,27.07.2025,02,01,Open,1000,10,00,OR,PO19336,JPY,1047564,CIP,NT30,K.TANAKA
4500000107,07.07.2025,0000100034,100000000000000036,233,2000,14.07.2025,13.07.2025,01,01,Open,1000,10,00,OR,PO95597,JPY,3206313,FOB,NT30,K.TANAKA
4500000248,2025-06-20,0000100021,100000000000000034,54,1000,01.07.2025,28.06.2025,02,01,Open,1000,10,00,OR,PO56665,JPY,548316,EXW,NT30,K.TANAKA
4500000249,12.06.2025,0000100036,100000000000000001,39,1000,18.06.2025,21.06.2025,01,01,Open,1000,10,00,OR,PO28201,JPY,428064,DAP,NT60,K.TANAKA
4500000223,12.06.2025,0000100026,100000000000000040,271,1000,17.06.2025,17.06.2025,01,01,Open,1000,10,00,OR,PO31989,JPY,3713242,CIP,NT45,H.WATANABE
4500000250,20.06.2025,0000100037,100000000000000052,61,2000,02.07.2025,29.06.2025,01,01,Open,1000,10,00,OR,PO42576,JPY,410164,EXW,NT45,R.ITO
4500000120,30.07.2025,0000100002,100000000000000055,110,3000,10.08.2025,05.08.2025,01,01,Open,1000,10,00,OR,PO89433,JPY,1582350,FOB,NT30,M.SATO
4500000050,17.05.2025,0000100018,100000000000000037,224,2000,22.05.2025,25.05.2025,02,03,Open,1000,10,00,OR,PO97432,JPY,3302208,CIP,NT30,M.SATO
4500000167,30.07.2025,0000100019,100000000000000014,188,1000,07.08.2025,08.08.2025,02,01,Open,1000,10,00,OR,PO20244,JPY,361712,EXW,NT30,K.TANAKA
4500000233,07.05.2025,0000100018,100000000000000027,259,1000,16.05.2025,12.05.2025,02,01,Open,1000,10,00,OR,PO43330,JPY,3167829,FOB,NT60,R.ITO
4500000095,12.06.2025,0000100014,100000000000000024,216,3000,19.06.2025,16.06.2025,01,02,Open,1000,10,00,OR,PO68226,JPY,201744,DAP,NT60,R.ITO
4500000093,21.06.2025,0000100016,100000000000000017,174,2000,01.07.2025,25.06.2025,01,02,Open,1000,10,00,OR,PO16930,JPY,177480,FOB,NT45,R.ITO
4500000201,2025-07-22,0000100016,100000000000000034,150,3000,31.07.2025,29.07.2025,01,01,Open,1000,10,00,OR,PO59465,JPY,1523100,FOB,NT30,Y.SUZUKI
4500000052,2025-06-16,0000100028,100000000000000008,352,3000,25.06.2025,20.06.2025,01,01,Open,1000,10,00,OR,PO44184,JPY,980672,EXW,NT60,M.SATO
4500000149,08.07.2025,0000100016,100000000000000058,312,1000,15.07.2025,17.07.2025,01,01,On Hold,1000,10,00,OR,PO67725,JPY,1507896,FOB,NT60,R.ITO
4500000100,28.07.2025,0000100035,100000000000000022,391,4000,03.08.2025,05.08.2025,02,02,Open,1000,10,00,OR,PO52495,JPY,3432589,EXW,NT45,K.TANAKA
4500000285,22.05.2025,0000100020,100000000000000040,394,1000,03.06.2025,01.06.2025,01,02,Open,1000,10,00,OR,PO18379,JPY,5398588,DAP,NT30,K.TANAKA
4500000097,19.06.2025,0000100004,100000000000000040,342,4000,30.06.2025,23.06.2025,01,01,On Hold,1000,10,00,OR,PO43708,JPY,4686084,DAP,NT30,K.TANAKA
4500000169,16.07.2025,0000100017,100000000000000001,243,3000,23.07.2025,22.07.2025,02,01,Open,1000,10,00,OR,PO45974,JPY,2667168,FOB,NT60,R.ITO
4500000017,20.07.2025,0000100037,100000000000000020,285,4000,28.07.2025,27.07.2025,02,01,Open,1000,10,00,OR,PO52406,JPY,1163370,FOB,NT30,K.TANAKA
4500000143,04.05.2025,0000100040,100000000000000038,62,4000,10.05.2025,08.05.2025,01,01,Open,1000,10,00,OR,PO41114,JPY,37572,DAP,NT45,Y.SUZUKI
4500000088,28.07.2025,0000100020,100000000000000047,207,1000,05.08.2025,05.08.2025,01,01,Open,1000,10,00,OR,PO89391,JPY,833589,FOB,NT30,R.ITO
4500000178,11.07.2025,0000100035,100000000000000031,192,2000,20.07.2025,16.07.2025,01,02,Open,1000,10,00,OR,PO53286,JPY,1415616,CIP,NT45,M.SATO
4500000214,22.05.2025,0000100004,100000000000000044,233,4000,28.05.2025,27.05.2025,02,01,Open,1000,10,00,OR,PO29879,JPY,1415242,CIP,NT30,K.TANAKA
4500000071,28.05.2025,0000100009,100000000000000016,18,4000,09.06.2025,07.06.2025,01,01,Open,1000,10,00,OR,PO77065,JPY,133416,EXW,NT60,Y.SUZUKI
4500000251,28.06.2025,0000100005,100000000000000032,317,2000,04.07.2025,03.07.2025,01,01,Open,1000,10,00,OR,PO96537,JPY,1303187,FOB,NT30,Y.SUZUKI
4500000054,14.05.2025,0000100028,100000000000000055,129,1000,20.05.2025,21.05.2025,01,01,Open,1000,10,00,OR,PO43793,JPY,1855665,EXW,NT45,K.TANAKA
4500000210,28.07.2025,0000100030,100000000000000045,58,4000,08.08.2025,05.08.2025,01,01,Open,1000,10,00,OR,PO27423,JPY,293016,EXW,NT30,Y.SUZUKI
4500000152,13.05.2025,0000100032,100000000000000022,165,2000,,18.05.2025,01,01,Open,1000,10,00,OR,PO12751,JPY,1448535,FOB,NT45,K.TANAKA
4500000274,26.05.2025,0000100025,100000000000000019,26,4000,04.06.2025,02.06.2025,02,01,Open,1000,10,00,OR,PO28982,JPY,52910,FOB,NT30,M.SATO
4500000286,20.06.2025,0000100029,100000000000000030,21,1000,29.06.2025,29.06.2025,01,01,Open,1000,10,00,OR,PO82708,JPY,197988,CIP,NT45,K.TANAKA
4500000148,16.06.2025,0000100030,100000000000000017,243,2000,27.06.2025,24.06.2025,01,01,Open,1000,10,00,OR,PO10881,JPY,247860,EXW,NT30,K.TANAKA
4500000009,10.05.2025,0000100011,100000000000000025,204,1000,22.05.2025,16.05.2025,01,02,Open,1000,10,00,OR,PO44571,JPY,1977780,EXW,NT45,M.SATO
4500000185,08.07.2025,0000100001,100000000000000025,357,2000,14.07.2025,13.07.2025,02,01,Open,1000,10,00,OR,PO30811,JPY,3461115,EXW,NT60,M.SATO
4500000108,15.05.2025,0000100029,100000000000000047,168,4000,21.05.2025,19.05.2025,01,01,Open,1000,10,00,OR,PO99128,JPY,676536,CIP,NT45,M.SATO
4500000268,27.05.2025,0000100005,100000000000000002,271,2000,06.06.2025,05.06.2025,01,01,Open,1000,10,00,OR,PO53665,JPY,629804,FOB,NT60,M.SATO
4500000293,11.06.2025,0000100030,100000000000000032,221,4000,18.06.2025,17.06.2025,01,01,Open,1000,10,00,OR,PO62436,JPY,908531,CIP,NT30,Y.SUZUKI
4500000289,13.06.2025,0000100037,100000000000000007,56,4000,25.06.2025,21.06.2025,01,01,Open,1000,10,00,OR,PO48456,JPY,232792,CIP,NT30,R.ITO
4500000073,2025-05-19,0000100020,100000000000000040,262,1000,26.05.2025,24.05.2025,01,01,Open,1000,10,00,OR,PO17857,JPY,3589924,EXW,NT45,R.ITO
4500000049,14.05.2025,0000100028,100000000000000007,71,3000,24.05.2025,23.05.2025,01,01,Open,1000,10,00,OR,PO98225,JPY,295147,EXW,NT45,M.SATO
4500000217,21.07.2025,0000100010,100000000000000045,197,1000,26.07.2025,27.07.2025,01,01,Open,1000,10,00,OR,PO80688,JPY,995244,DAP,NT60,M.SATO
4500000172,27.07.2025,0000100014,100000000000000056,58,4000,07.08.2025,05.08.2025,01,02,Open,1000,10,00,OR,PO39829,JPY,355830,FOB,NT60,M.SATO
4500000202,2025-06-08,0000100018,100000000000000009,377,4000,13.06.2025,15.06.2025,01,01,Open,1000,10,00,OR,PO13662,JPY,4737382,DAP,NT45,M.SATO
4500000164,30.06.2025,0000100038,100000000000000033,260,2000,11.07.2025,10.07.2025,01,01,Open,1000,10,00,OR,PO15392,JPY,2043340,CIP,NT60,R.ITO
4500000112,31.05.2025,0000100019,100000000000000003,120,3000,12.06.2025,08.06.2025,01,01,Open,1000,10,00,OR,PO96805,JPY,109080,EXW,NT45,M.SATO
4500000177,17.06.2025,0000100020,100000000000000032,94,1000,26.06.2025,27.06.2025,01,01,Open,1000,10,00,OR,PO86933,JPY,386434,DAP,NT60,K.TANAKA
4500000036,10.06.2025,0000100038,100000000000000038,81,4000,20.06.2025,18.06.2025,01,01,Open,1000,10,00,OR,PO73795,JPY,49086,EXW,NT60,R.ITO
4500000042,2025-05-24,0000100017,100000000000000059,156,4000,30.05.2025,31.05.2025,02,01,Open,1000,10,00,OR,PO11032,JPY,2140788,DAP,NT60,H.WATANABE
4500000150,27.07.2025,0000100023,100000000000000033,92,3000,03.08.2025,02.08.2025,02,02,Open,1000,10,00,OR,PO36099,JPY,723028,FOB,NT45,M.SATO
4500000113,2025-05-16,0000100016,100000000000000020,235,1000,22.05.2025,23.05.2025,01,02,Open,1000,10,00,OR,PO27527,JPY,959270,DAP,NT60,H.WATANABE
4500000290,15.07.2025,0000100026,100000000000000052,324,2000,21.07.2025,23.07.2025,02,01,Open,1000,10,00,OR,PO56152,JPY,2178576,FOB,NT60,K.TANAKA
4500000069,28.07.2025,0000100029,100000000000000024,232,3000,07.08.2025,04.08.2025,02,01,Open,1000,10,00,OR,PO67952,JPY,216688,EXW,NT60,H.WATANABE
4500000138,23.05.2025,0000100029,100000000000000005,155,1000,29.05.2025,27.05.2025,01,01,Open,1000,10,00,OR,PO23459,JPY,775930,DAP,NT60,K.TANAKA
4500000277,2025-05-15,0000100035,100000000000000038,78,3000,25.05.2025,25.05.2025,01,01,Open,1000,10,00,OR,PO77559,JPY,47268,EXW,NT60,H.WATANABE
4500000110,17.07.2025,0000100008,100000000000000023,239,3000,26.07.2025,25.07.2025,01,02,Open,1000,10,00,OR,PO82938,JPY,2476757,EXW,NT45,M.SATO
