TANUM,VBELN,LGNUM,VORGA,CONFIRM_TS,MENGE_CONF,LENUM,VLPLA,NLPLA,MEINS,BENUM,TASTATUS
0000700041,4500000007,2000,LOAD,09.05.2025 21:46:44,147,HU878659,A-04-05,A-01-04,PC,OP110,C
0000700042,4500000007,2000,GOODS_ISSUE,10.05.2025 00:14:14,147,HU878659,A-04-05,A-01-04,PC,OP110,C
0000700043,4500000008,2000,PICK_START,18.06.2025 07:00:00,102,HU715054,A-05-01,A-02-02,PC,OP149,C
0000700044,4500000008,2000,PICK_CONFIRM,18.06.2025 08:15:10,102,HU715054,A-05-01,A-02-02,PC,OP149,C
0000700045,4500000008,2000,PACK_START,18.06.2025 13:25:59,102,HU715054,A-05-01,A-02-02,PC,OP149,C
0000700046,4500000008,2000,PACK_CONFIRM,18.06.2025 17:20:24,102,HU715054,A-05-01,A-02-02,PC,OP149,C
0000700047,4500000008,2000,LOAD,18.06.2025 21:07:09,102,HU715054,A-05-01,A-02-02,PC,OP149,C
0000700049,4500000009,1000,PICK_START,11.05.2025 10:00:00,204,HU838889,A-03-05,A-01-04,PC,OP119,C
0000700048,4500000008,2000,GOODS_ISSUE,18.06.2025 23:48:59,102,HU715054,A-05-01,A-02-02,PC,OP149,C
0000700050,4500000009,1000,PICK_CONFIRM,11.05.2025 12:05:18,204,HU838889,A-03-05,A-01-04,PC,OP119,C
0000700051,4500000009,1000,PACK_START,11.05.2025 16:46:01,204,HU838889,A-03-05,A-01-04,PC,OP119,C
0000700052,4500000009,1000,PACK_CONFIRM,11.05.2025 17:57:00,204,HU838889,A-03-05,A-01-04,PC,OP119,C
0000700053,4500000009,1000,LOAD,11.05.2025 19:53:27,204,HU838889,A-03-05,A-01-04,PC,OP119,C
0000700054,4500000009,1000,GOODS_ISSUE,11.05.2025 20:59:28,204,HU838889,A-03-05,A-01-04,PC,OP119,C
0000700055,4500000010,1000,PICK_START,29.05.2025 15:00:00,350,HU673129,A-04-05,A-03-01,PC,OP177,C
0000700056,4500000010,1000,PICK_CONFIRM,29.05.2025 18:49:34,350,HU673129,A-04-05,A-03-01,PC,OP177,C
0000700057,4500000010,1000,PACK_START,29.05.2025 21:07:47,350,HU673129,A-04-05,A-03-01,PC,OP177,C
0000700058,4500000010,1000,PACK_CONFIRM,30.05.2025 00:08:20,350,HU673129,A-04-05,A-03-01,PC,OP177,C
0000700059,4500000010,1000,LOAD,30.05.2025 02:04:54,350,HU673129,A-04-05,A-03-01,PC,OP177,C
0000700060,4500000010,1000,GOODS_ISSUE,30.05.2025 03:36:46,350,HU673129,A-04-05,A-03-01,PC,OP177,C
0000700061,4500000011,1000,PICK_START,14.05.2025 08:00:00,42,HU860585,A-04-01,A-05-05,PC,OP151,C
0000700062,4500000011,1000,PICK_CONFIRM,14.05.2025 11:11:27,42,HU860585,A-04-01,A-05-05,PC,OP151,C
0000700063,4500000011,1000,PACK_START,14.05.2025 13:42:12,42,HU860585,A-04-01,A-05-05,PC,OP151,C
0000700064,4500000011,1000,PACK_CONFIRM,14.05.2025 17:39:18,42,HU860585,A-04-01,A-05-05,PC,OP151,C
0000700065,4500000011,1000,LOAD,14.05.2025 21:04:34,42,HU860585,A-04-01,A-05-05,PC,OP151,C
0000700066,4500000011,1000,GOODS_ISSUE,14.05.2025 23:08:03,42,HU860585,A-04-01,A-05-05,PC,OP151,C
0000700067,4500000012,1000,PICK_START,22.05.2025 06:00:00,385,HU659475,A-05-04,A-01-05,PC,OP111,C
0000700068,4500000012,1000,PICK_CONFIRM,22.05.2025 07:27:41,385,HU659475,A-05-04,A-01-05,PC,OP111,C
0000700069,4500000012,1000,PACK_START,22.05.2025 09:50:41,385,HU659475,A-05-04,A-01-05,PC,OP111,C
0000700070,4500000012,1000,PACK_CONFIRM,22.05.2025 10:51:19,385,HU659475,A-05-04,A-01-05,PC,OP111,C
0000700071,4500000012,1000,LOAD,22.05.2025 14:10:07,385,HU659475,A-05-04,A-01-05,PC,OP111,C
0000700072,4500000012,1000,GOODS_ISSUE,22.05.2025 16:26:35,385,HU659475,A-05-04,A-01-05,PC,OP111,C
0000700073,4500000013,1000,PICK_START,14.07.2025 10:00:00,358,HU234041,A-02-02,A-03-04,PC,OP240,C
0000700074,4500000013,1000,PICK_CONFIRM,14.07.2025 12:49:23,358,HU234041,A-02-02,A-03-04,PC,OP240,C
0000700075,4500000013,1000,PACK_START,14.07.2025 18:41:03,358,HU234041,A-02-02,A-03-04,PC,OP240,C
0000700076,4500000013,1000,PACK_CONFIRM,14.07.2025 19:48:14,358,HU234041,A-02-02,A-03-04,PC,OP240,C
0000700077,4500000013,1000,LOAD,14.07.2025 21:52:38,358,HU234041,A-02-02,A-03-04,PC,OP240,C
0000700078,4500000013,1000,GOODS_ISSUE,15.07.2025 00:14:29,358,HU234041,A-02-02,A-03-04,PC,OP240,C
0000700079,4500000014,2000,PICK_START,03.06.2025 07:00:00,216,HU846169,A-02-04,A-05-05,PC,OP243,C
0000700080,4500000014,2000,PICK_CONFIRM,03.06.2025 09:54:45,216,HU846169,A-02-04,A-05-05,PC,OP243,C
0000700081,4500000014,2000,PACK_CONFIRM,03.06.2025 14:44:12,216,HU846169,A-02-04,A-05-05,PC,OP243,C
0000700082,4500000014,2000,LOAD,03.06.2025 16:20:08,216,HU846169,A-02-04,A-05-05,PC,OP243,C
0000700083,4500000014,2000,GOODS_ISSUE,03.06.2025 19:10:20,216,HU846169,A-02-04,A-05-05,PC,OP243,C
0000700084,4500000015,1000,PICK_START,24.06.2025 10:00:00,400,HU464211,A-03-02,A-03-05,PC,OP261,C
0000700085,4500000015,1000,PICK_CONFIRM,24.06.2025 11:53:34,400,HU464211,A-03-02,A-03-05,PC,OP261,C
0000700086,4500000015,1000,PACK_START,24.06.2025 14:13:12,400,HU464211,A-03-02,A-03-05,PC,OP261,C
0000700087,4500000015,1000,PACK_CONFIRM,24.06.2025 15:32:43,400,HU464211,A-03-02,A-03-05,PC,OP261,C
0000700088,4500000015,1000,LOAD,24.06.2025 17:50:56,400,HU464211,A-03-02,A-03-05,PC,OP261,C
0000700089,4500000015,1000,GOODS_ISSUE,24.06.2025 20:18:22,400,HU464211,A-03-02,A-03-05,PC,OP261,C
0000700090,4500000016,1000,PICK_START,18.07.2025 07:00:00,367,HU852170,A-01-04,A-03-04,PC,OP117,C
0000700091,4500000016,1000,PICK_CONFIRM,18.07.2025 11:35:55,367,HU852170,A-01-04,A-03-04,PC,OP117,C
0000700092,4500000016,1000,PACK_START,18.07.2025 14:08:42,367,HU852170,A-01-04,A-03-04,PC,OP117,C
0000700093,4500000016,1000,PACK_CONFIRM,18.07.2025 16:22:13,367,HU852170,A-01-04,A-03-04,PC,OP117,C
0000700094,4500000016,1000,LOAD,18.07.2025 18:34:39,367,HU852170,A-01-04,A-03-04,PC,OP117,C
0000700095,4500000016,1000,GOODS_ISSUE,18.07.2025 20:10:07,367,HU852170,A-01-04,A-03-04,PC,OP117,C
0000700096,4500000017,4000,PICK_START,22.07.2025 13:00:00,285,HU606274,A-03-04,A-04-02,PC,OP228,C
0000700097,4500000017,4000,PICK_CONFIRM,22.07.2025 17:22:41,285,HU606274,A-03-04,A-04-02,PC,OP228,C
0000700098,4500000017,4000,PACK_START,22.07.2025 22:20:48,285,HU606274,A-03-04,A-04-02,PC,OP228,C
0000700099,4500000017,4000,PACK_CONFIRM,23.07.2025 02:13:34,285,HU606274,A-03-04,A-04-02,PC,OP228,C
0000700100,4500000017,4000,LOAD,23.07.2025 05:26:03,285,HU606274,A-03-04,A-04-02,PC,OP228,C
0000700101,4500000017,4000,GOODS_ISSUE,23.07.2025 07:45:06,285,HU606274,A-03-04,A-04-02,PC,OP228,C
0000700102,4500000018,3000,PICK_START,16.05.2025 16:00:00,120,HU929303,A-01-01,A-02-01,PC,OP253,C
0000700103,4500000018,3000,PICK_CONFIRM,16.05.2025 19:52:42,120,HU929303,A-01-01,A-02-01,PC,OP253,C
0000700104,4500000018,3000,PACK_START,16.05.2025 22:47:53,120,HU929303,A-01-01,A-02-01,PC,OP253,C
0000700105,4500000018,3000,PACK_CONFIRM,17.05.2025 00:59:49,120,HU929303,A-01-01,A-02-01,PC,OP253,C
0000700106,4500000018,3000,LOAD,17.05.2025 02:26:23,120,HU929303,A-01-01,A-02-01,PC,OP253,C
0000700107,4500000018,3000,GOODS_ISSUE,17.05.2025 04:48:54,120,HU929303,A-01-01,A-02-01,PC,OP253,C
0000700108,4500000020,4000,PICK_START,23.07.2025 09:00:00,44,HU387465,A-05-03,A-01-05,PC,OP174,C
0000700109,4500000020,4000,PICK_CONFIRM,23.07.2025 11:54:54,44,HU387465,A-05-03,A-01-05,PC,OP174,C
0000700110,4500000020,4000,PACK_START,23.07.2025 13:59:05,44,HU387465,A-05-03,A-01-05,PC,OP174,C
0000700111,4500000020,4000,PACK_CONFIRM,23.07.2025 16:13:46,44,HU387465,A-05-03,A-01-05,PC,OP174,C
0000700112,4500000020,4000,LOAD,23.07.2025 18:13:19,44,HU387465,A-05-03,A-01-05,PC,OP174,C
0000700113,4500000020,4000,GOODS_ISSUE,23.07.2025 20:09:14,44,HU387465,A-05-03,A-01-05,PC,OP174,C
0000700114,4500000021,1000,PICK_START,16.07.2025 10:00:00,185,HU147652,A-04-04,A-01-02,PC,OP277,C
0000700115,4500000021,1000,PICK_CONFIRM,16.07.2025 13:10:45,185,HU147652,A-04-04,A-01-02,PC,OP277,C
0000700116,4500000021,1000,PACK_CONFIRM,16.07.2025 17:11:45,185,HU147652,A-04-04,A-01-02,PC,OP277,C
0000700117,4500000021,1000,LOAD,16.07.2025 20:14:00,185,HU147652,A-04-04,A-01-02,PC,OP277,C
0000700118,4500000021,1000,GOODS_ISSUE,16.07.2025 22:02:31,185,HU147652,A-04-04,A-01-02,PC,OP277,C
0000700119,4500000022,1000,PICK_START,23.06.2025 13:00:00,47,HU299429,A-05-04,A-03-03,PC,OP226,C
0000700120,4500000022,1000,PICK_CONFIRM,23.06.2025 15:38:03,47,HU299429,A-05-04,A-03-03,PC,OP226,C
0000700121,4500000022,1000,PACK_START,23.06.2025 18:31:47,47,HU299429,A-05-04,A-03-03,PC,OP226,C
0000700122,4500000022,1000,PACK_CONFIRM,23.06.2025 21:47:09,47,HU299429,A-05-04,A-03-03,PC,OP226,C
0000700123,4500000022,1000,LOAD,24.06.2025 01:16:53,47,HU299429,A-05-04,A-03-03,PC,OP226,C
0000700124,4500000022,1000,GOODS_ISSUE,24.06.2025 02:47:10,47,HU299429,A-05-04,A-03-03,PC,OP226,C
0000700125,4500000023,1000,PICK_START,03.06.2025 07:00:00,391,HU817953,A-04-03,A-04-02,PC,OP119,C
0000700126,4500000023,1000,PICK_CONFIRM,03.06.2025 10:49:11,391,HU817953,A-04-03,A-04-02,PC,OP119,C
0000700127,4500000023,1000,PACK_START,03.06.2025 15:19:01,391,HU817953,A-04-03,A-04-02,PC,OP119,C
0000700128,4500000023,1000,PACK_CONFIRM,03.06.2025 18:37:04,391,HU817953,A-04-03,A-04-02,PC,OP119,C
0000700129,4500000023,1000,LOAD,03.06.2025 20:07:16,391,HU817953,A-04-03,A-04-02,PC,OP119,C
0000700130,4500000023,1000,GOODS_ISSUE,03.06.2025 22:20:08,391,HU817953,A-04-03,A-04-02,PC,OP119,C
0000700131,4500000024,3000,PICK_START,19.07.2025 10:00:00,299,HU273558,A-03-05,A-05-05,PC,OP230,C
0000700132,4500000024,3000,PICK_CONFIRM,19.07.2025 15:15:05,299,HU273558,A-03-05,A-05-05,PC,OP230,C
0000700133,4500000024,3000,PACK_START,19.07.2025 16:51:24,299,HU273558,A-03-05,A-05-05,PC,OP230,C
0000700134,4500000024,3000,PACK_CONFIRM,19.07.2025 20:48:29,299,HU273558,A-03-05,A-05-05,PC,OP230,C
0000700135,4500000024,3000,LOAD,20.07.2025 00:09:22,299,HU273558,A-03-05,A-05-05,PC,OP230,C
0000700136,4500000024,3000,GOODS_ISSUE,20.07.2025 01:51:02,299,HU273558,A-03-05,A-05-05,PC,OP230,C
0000700137,4500000025,4000,PICK_START,07.05.2025 16:00:00,59,HU502810,A-04-03,A-05-05,PC,OP199,C
0000700138,4500000025,4000,PICK_CONFIRM,07.05.2025 18:21:01,59,HU502810,A-04-03,A-05-05,PC,OP199,C
0000700139,4500000025,4000,PACK_START,07.05.2025 22:02:28,59,HU502810,A-04-03,A-05-05,PC,OP199,C
0000700140,4500000025,4000,PACK_CONFIRM,08.05.2025 00:29:30,59,HU502810,A-04-03,A-05-05,PC,OP199,C
0000700141,4500000025,4000,LOAD,08.05.2025 02:47:54,59,HU502810,A-04-03,A-05-05,PC,OP199,C
0000700142,4500000025,4000,GOODS_ISSUE,08.05.2025 05:15:37,59,HU502810,A-04-03,A-05-05,PC,OP199,C
0000700143,4500000026,4000,PICK_START,05.06.2025 15:00:00,177,HU520320,A-04-05,A-02-04,PC,OP152,C
0000700144,4500000026,4000,PICK_CONFIRM,05.06.2025 19:30:21,177,HU520320,A-04-05,A-02-04,PC,OP152,C
0000700145,4500000026,4000,PACK_START,05.06.2025 20:33:24,177,HU520320,A-04-05,A-02-04,PC,OP152,C
0000700146,4500000026,4000,PACK_CONFIRM,06.06.2025 00:24:03,177,HU520320,A-04-05,A-02-04,PC,OP152,C
0000700147,4500000026,4000,LOAD,06.06.2025 01:39:27,177,HU520320,A-04-05,A-02-04,PC,OP152,C
0000700148,4500000026,4000,GOODS_ISSUE,06.06.2025 04:05:52,177,HU520320,A-04-05,A-02-04,PC,OP152,C
0000700149,4500000027,3000,PICK_START,02.07.2025 14:00:00,118,HU293007,A-01-01,A-02-01,PC,OP246,C
0000700150,4500000027,3000,PICK_CONFIRM,02.07.2025 16:39:14,118,HU293007,A-01-01,A-02-01,PC,OP246,C
0000700151,4500000027,3000,PACK_START,02.07.2025 19:00:30,118,HU293007,A-01-01,A-02-01,PC,OP246,C
0000700152,4500000027,3000,PACK_CONFIRM,02.07.2025 20:45:45,118,HU293007,A-01-01,A-02-01,PC,OP246,C
0000700153,4500000027,3000,LOAD,02.07.2025 22:07:28,118,HU293007,A-01-01,A-02-01,PC,OP246,C
0000700154,4500000027,3000,GOODS_ISSUE,02.07.2025 23:30:35,118,HU293007,A-01-01,A-02-01,PC,OP246,C
0000700155,4500000028,3000,PICK_START,04.07.2025 06:00:00,56,HU328387,A-04-04,A-05-03,PC,OP102,C
0000700156,4500000028,3000,PICK_CONFIRM,04.07.2025 09:46:00,56,HU328387,A-04-04,A-05-03,PC,OP102,C
0000700157,4500000028,3000,PACK_START,04.07.2025 11:23:53,56,HU328387,A-04-04,A-05-03,PC,OP102,C
0000700158,4500000028,3000,PACK_CONFIRM,04.07.2025 15:00:12,56,HU328387,A-04-04,A-05-03,PC,OP102,C
0000700159,4500000028,3000,LOAD,04.07.2025 17:28:34,56,HU328387,A-04-04,A-05-03,PC,OP102,C
0000700160,4500000028,3000,GOODS_ISSUE,04.07.2025 20:13:17,56,HU328387,A-04-04,A-05-03,PC,OP102,C
0000700161,4500000029,4000,PICK_START,27.05.2025 15:00:00,63,HU929053,A-04-02,A-03-05,PC,OP228,C
0000700162,4500000029,4000,PICK_CONFIRM,27.05.2025 20:44:44,63,HU929053,A-04-02,A-03-05,PC,OP228,C
0000700163,4500000029,4000,PACK_START,27.05.2025 22:59:11,63,HU929053,A-04-02,A-03-05,PC,OP228,C
0000700164,4500000029,4000,PACK_CONFIRM,28.05.2025 01:39:38,63,HU929053,A-04-02,A-03-05,PC,OP228,C
0000700165,4500000029,4000,LOAD,28.05.2025 03:54:33,63,HU929053,A-04-02,A-03-05,PC,OP228,C
0000700166,4500000029,4000,GOODS_ISSUE,28.05.2025 06:06:05,63,HU929053,A-04-02,A-03-05,PC,OP228,C
0000700167,4500000030,3000,PICK_START,13.06.2025 07:00:00,296,HU842133,A-05-04,A-04-02,PC,OP166,C
0000700168,4500000030,3000,PICK_CONFIRM,13.06.2025 08:47:07,296,HU842133,A-05-04,A-04-02,PC,OP166,C
0000700169,4500000030,3000,PACK_START,13.06.2025 10:09:38,296,HU842133,A-05-04,A-04-02,PC,OP166,C
0000700170,4500000030,3000,PACK_CONFIRM,13.06.2025 11:10:07,296,HU842133,A-05-04,A-04-02,PC,OP166,C
0000700172,4500000030,3000,GOODS_ISSUE,13.06.2025 15:42:27,296,HU842133,A-05-04,A-04-02,PC,OP166,C
0000700171,4500000030,3000,LOAD,13.06.2025 13:31:12,296,HU842133,A-05-04,A-04-02,PC,OP166,C
0000700173,4500000032,1000,PICK_START,30.06.2025 15:00:00,226,HU418148,A-02-03,A-02-05,PC,OP281,C
0000700174,4500000032,1000,PICK_CONFIRM,30.06.2025 16:12:04,226,HU418148,A-02-03,A-02-05,PC,OP281,C
0000700175,4500000032,1000,PACK_START,30.06.2025 19:33:13,226,HU418148,A-02-03,A-02-05,PC,OP281,C
0000700176,4500000032,1000,PACK_CONFIRM,30.06.2025 22:30:29,226,HU418148,A-02-03,A-02-05,PC,OP281,C
0000700177,4500000032,1000,LOAD,01.07.2025 02:15:23,226,HU418148,A-02-03,A-02-05,PC,OP281,C
0000700178,4500000032,1000,GOODS_ISSUE,01.07.2025 03:37:09,226,HU418148,A-02-03,A-02-05,PC,OP281,C
0000700179,4500000033,3000,PICK_START,17.06.2025 13:00:00,348,HU381558,A-04-03,A-01-04,PC,OP143,C
0000700180,4500000033,3000,PICK_CONFIRM,17.06.2025 14:26:25,350,HU381558,A-04-03,A-01-04,PC,OP143,C
0000700181,4500000033,3000,PACK_START,17.06.2025 16:01:11,350,HU381558,A-04-03,A-01-04,PC,OP143,C
0000700182,4500000033,3000,PACK_CONFIRM,17.06.2025 19:20:15,350,HU381558,A-04-03,A-01-04,PC,OP143,C
0000700183,4500000033,3000,LOAD,17.06.2025 22:55:56,350,HU381558,A-04-03,A-01-04,PC,OP143,C
0000700184,4500000033,3000,GOODS_ISSUE,18.06.2025 01:34:55,350,HU381558,A-04-03,A-01-04,PC,OP143,C
0000700185,4500000034,4000,PICK_START,11.07.2025 13:00:00,325,HU334807,A-01-02,A-04-03,PC,OP160,C
0000700186,4500000034,4000,PICK_CONFIRM,11.07.2025 14:36:25,325,HU334807,A-01-02,A-04-03,PC,OP160,C
0000700187,4500000034,4000,PACK_START,11.07.2025 18:39:05,325,HU334807,A-01-02,A-04-03,PC,OP160,C
0000700188,4500000034,4000,PACK_CONFIRM,11.07.2025 20:22:09,325,HU334807,A-01-02,A-04-03,PC,OP160,C
0000700190,4500000034,4000,GOODS_ISSUE,11.07.2025 23:56:46,325,HU334807,A-01-02,A-04-03,PC,OP160,C
0000700189,4500000034,4000,LOAD,11.07.2025 21:50:40,325,HU334807,A-01-02,A-04-03,PC,OP160,C
0000700191,4500000035,3000,PICK_START,19.05.2025 15:00:00,265,HU406019,A-01-02,A-05-01,PC,OP137,C
0000700192,4500000035,3000,PICK_CONFIRM,19.05.2025 18:32:28,265,HU406019,A-01-02,A-05-01,PC,OP137,C
0000700193,4500000035,3000,PACK_START,19.05.2025 23:51:40,265,HU406019,A-01-02,A-05-01,PC,OP137,C
0000700194,4500000035,3000,PACK_CONFIRM,20.05.2025 01:41:24,265,HU406019,A-01-02,A-05-01,PC,OP137,C
0000700195,4500000035,3000,LOAD,20.05.2025 05:03:36,265,HU406019,A-01-02,A-05-01,PC,OP137,C
0000700196,4500000035,3000,GOODS_ISSUE,20.05.2025 06:53:23,265,HU406019,A-01-02,A-05-01,PC,OP137,C
0000700197,4500000036,4000,PICK_START,12.06.2025 09:00:00,81,HU391248,A-01-05,A-02-04,PC,OP113,C
0000700198,4500000036,4000,PICK_CONFIRM,12.06.2025 14:54:13,81,HU391248,A-01-05,A-02-04,PC,OP113,C
0000700199,4500000036,4000,PACK_START,12.06.2025 17:49:07,81,HU391248,A-01-05,A-02-04,PC,OP113,C
0000700200,4500000036,4000,PACK_CONFIRM,12.06.2025 21:23:12,81,HU391248,A-01-05,A-02-04,PC,OP113,C
0000700201,4500000036,4000,LOAD,12.06.2025 23:37:08,81,HU391248,A-01-05,A-02-04,PC,OP113,C
0000700202,4500000036,4000,GOODS_ISSUE,13.06.2025 01:15:19,81,HU391248,A-01-05,A-02-04,PC,OP113,C
0000700203,4500000037,3000,PICK_START,06.07.2025 07:00:00,56,HU773618,A-02-03,A-02-02,PC,OP236,C
0000700204,4500000037,3000,PICK_CONFIRM,06.07.2025 10:20:50,56,HU773618,A-02-03,A-02-02,PC,OP236,C
0000700205,4500000037,3000,PACK_START,06.07.2025 13:02:24,56,HU773618,A-02-03,A-02-02,PC,OP236,C
0000700206,4500000037,3000,PACK_CONFIRM,06.07.2025 16:07:06,56,HU773618,A-02-03,A-02-02,PC,OP236,C
0000700207,4500000037,3000,LOAD,06.07.2025 19:04:04,56,HU773618,A-02-03,A-02-02,PC,OP236,C
0000700208,4500000037,3000,GOODS_ISSUE,06.07.2025 21:46:17,56,HU773618,A-02-03,A-02-02,PC,OP236,C
0000700209,4500000038,1000,PICK_START,14.07.2025 07:00:00,125,HU221828,A-01-01,A-05-01,PC,OP188,C
0000700210,4500000038,1000,PICK_CONFIRM,14.07.2025 10:13:06,125,HU221828,A-01-01,A-05-01,PC,OP188,C
0000700211,4500000038,1000,PACK_START,14.07.2025 15:44:07,125,HU221828,A-01-01,A-05-01,PC,OP188,C
0000700212,4500000038,1000,PACK_CONFIRM,14.07.2025 16:52:24,125,HU221828,A-01-01,A-05-01,PC,OP188,C
0000700213,4500000038,1000,LOAD,14.07.2025 20:15:42,125,HU221828,A-01-01,A-05-01,PC,OP188,C
0000700214,4500000038,1000,GOODS_ISSUE,14.07.2025 21:50:55,125,HU221828,A-01-01,A-05-01,PC,OP188,C
0000700215,4500000039,2000,PICK_START,16.07.2025 16:00:00,45,HU763416,A-04-05,A-03-02,PC,OP183,C
0000700216,4500000039,2000,PICK_CONFIRM,16.07.2025 18:16:11,45,HU763416,A-04-05,A-03-02,PC,OP183,C
0000700217,4500000039,2000,PACK_START,16.07.2025 19:19:00,45,HU763416,A-04-05,A-03-02,PC,OP183,C
0000700218,4500000039,2000,PACK_CONFIRM,16.07.2025 22:43:50,45,HU763416,A-04-05,A-03-02,PC,OP183,C
0000700219,4500000039,2000,LOAD,17.07.2025 02:26:03,45,HU763416,A-04-05,A-03-02,PC,OP183,C
0000700220,4500000039,2000,GOODS_ISSUE,17.07.2025 04:47:22,45,HU763416,A-04-05,A-03-02,PC,OP183,C
0000700221,4500000040,3000,PICK_START,26.07.2025 11:00:00,238,HU187289,A-05-03,A-04-03,PC,OP167,C
0000700222,4500000040,3000,PICK_CONFIRM,26.07.2025 14:52:26,238,HU187289,A-05-03,A-04-03,PC,OP167,C
